Student No.,Midterm 1,Midterm 2,Midterm Average,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Final Exam,Bonus (Class Part),Total
10026110,20,18.5,19.25,10,9.25,10.3,10.2,,,,59
10781128,14.5,14,14.25,10,9,8.8,10.2,,,,52.25
10792125,14.5,19,16.75,10,8.25,9.9,10.2,,,,55.1
12424115,17,13,15,10,7.75,7.9,10,,,,50.65
12563110,19.5,15.5,17.5,10,9,8.7,10.2,,,,55.4
13206115,11,13,12,10,8,8.6,10.2,,,,48.8
14842124,17,12.5,14.75,10,9,7,8.2,,,,48.95
15219116,13.5,18.5,16,10,8.25,9,10,,,,53.25
15678113,16.5,10,13.25,10,8,4.3,10.2,,,,45.75
15688112,17,17.5,17.25,10,9.5,10,10.2,,,,56.95
15948110,9.5,9,9.25,10,6.5,8,10,,,,43.75
17839119,13,10,11.5,10,8.5,9.35,9,,,,48.35
18562116,18.5,17.5,18,10,7.75,7.9,10,,,,53.65
20656120,14.5,18,16.25,10,8.25,10,8.2,,,,52.7
21608120,15.5,13.5,14.5,10,8.5,9.9,10.2,,,,53.1
22003123,19,16,17.5,10,8,9.5,10.2,,,,55.2
22164123,13,14,13.5,10,8,7,10,,,,48.5
22253124,14,14.5,14.25,10,7.5,8.7,5,,,,45.45
22505119,17,15.5,16.25,10,8,8.6,10.2,,,,53.05
22689129,18.5,11.5,15,10,9.5,7.5,9,,,,51
23410111,11,9,10,10,6.75,9,8,,,,43.75
23681117,14,15.5,14.75,10,8,8.5,0,,,,41.25
23998099,19,16.5,17.75,10,7.5,9,10,,,,54.25
24350118,18.5,12.5,15.5,10,8,9.5,10.2,,,,53.2
24442097,11.5,7.5,9.5,10,8.75,9.6,10.2,,,,48.05
24483117,14.5,8.5,11.5,10,6.5,8.2,10,,,,46.2
24575110,16.5,18,17.25,10,9.25,8.4,10,,,,54.9
24588113,17.5,10,13.75,10,7.5,8.9,10,,,,50.15
24791113,12.5,13,12.75,10,9.25,8.4,10,,,,50.4
24826125,13.5,12.5,13,10,7.5,8.7,5,,,,44.2
25166117,19,19,19,10,8.8,8.75,10.2,,,,56.75
25173113,17,18,17.5,10,8.5,9.5,10,,,,55.5
25175118,14.5,16,15.25,10,6.5,8.2,10,,,,49.95
25179110,18.5,19,18.75,10,8.8,8.75,10.2,,,,56.5
25397118,18,18,18,10,7.75,9,10,,,,54.75
25415118,17,17.5,17.25,10,9,8.8,10.2,,,,55.25
25608084,18,16.5,17.25,10,9.5,8.8,10.2,,,,55.75
25721119,16,16,16,10,9,8.7,9,,,,52.7
25899105,13,14,13.5,10,8.75,9.7,10.2,,,,52.15
25930108,11,6.5,8.75,10,7.25,8.1,10,,,,44.1
25985102,14.5,10.5,12.5,10,6.5,8,10,,,,47
26064105,16.5,10.5,13.5,10,7.75,9.5,8,,,,48.75
26250118,13.5,16,14.75,10,9,8.7,9,,,,51.45
26630103,14.5,15.5,15,10,7.15,9.1,10,,,,51.25
26685107,13,9.5,11.25,6,7.75,9,10,,,,44
26898106,19.5,15,17.25,10,7,8,10.2,,,,52.45
27465095,16,10,13,10,9,6.6,10,,,,48.6
28336105,18,13.5,15.75,10,8.5,7.7,10,,,,51.95
29093119,15,14,14.5,10,8,8.6,10,,,,51.1
29454113,19,13.5,16.25,9.5,8.5,6.75,10.2,,,,51.2
29457074,12,5.5,8.75,10,8,8.6,10,,,,45.35
29956117,16,12,14,10,8,10.3,10.2,,,,52.5
30209118,16,12,14,10,8.25,10.3,10,,,,52.55
30230114,17,16,16.5,10,9.25,6.7,10.2,,,,52.65
30563118,14,13,13.5,10,8,4.3,10.2,,,,46
30685119,16.5,13,14.75,10,9.5,10,10.2,,,,54.45
30891113,20,19,19.5,10,9.25,6.7,10.2,,,,55.65
30984116,20,20,20,10,9,8.8,10.2,,,,58
